s_no,district,station_name,address,latitude,longitude
461,Patan,Sankheshwer,Near Halari Dhramsala Sankheswar Police Station,23.501658,71.784789
462,Patan,Santalpur,Behind Sarkari Hospital Santalpur Santalpur Police Stanion,23.759446,71.169514
463,Patan,Sidhpur,"Siddhpur New Court Behind, Siddhpur Police Station",23.919221,72.366579
464,Patan,Vagdod,Vagdod Police Station Near Mazid Vagdod Ta-Saraswati Dist-Patan,23.988112,72.150948
465,Patan,Varahi,Behind Varahi Taluka Panchayat Varahi Police Station,23.797311,71.447161
466,Porbandar,Bagvadar,Bagvadar village behind Post office,21.791244,69.591017
467,Porbandar,Kamalabag,Near Kamlanaheru garden Porbandar,21.639157,69.623221
468,Porbandar,Kirtimandir,"Near birthplace of mahatma gandhi, kirtimandir",21.642337,69.600874
469,Porbandar,Kutiyana,"Nr. New Court Building, Thepdazapa, Kutiyana",21.624072,69.991587
470,Porbandar,Madhavpur,"Nr. Sheth N.D.R. Highschool, Ganesh society Madhavpur",21.258386,69.966447
471,Porbandar,Mahila,"Bhojeshvarplot, Porbandar",21.641142,69.619133
472,Porbandar,Miyani Marin,"Porbandar-Dwarka Highway Road, Opp. Vachhraj Parotha House, Miyani village",21.826627,69.394612
473,Porbandar,Navi Bandar Marin,Near Navibandar village,21.446464,69.790087
474,Porbandar,Ranawav,"Near bus stop, Ranavav town",21.682169,69.743401
475,Porbandar,Udyognagar,Aashapura chowk U.nagar,21.649887,69.636044
476,Porbandar,Harbar Marin,"Old Subhashnagar Chowky, Jety Road, subhashnagar",21.642019,69.587289
477,Rajkot City,A Div.,Trikon Bagpase Dheber Road Rajkot,22.295879,70.802618
478,Rajkot City,Aaji Dem,"Kothariya Main Road, Near Ranuja Temple, Rakot",22.247859,70.818682
479,Rajkot City,B Div.,Ramnath Para Rajkot,22.291987,70.813196
480,Rajkot City,Bhaktinagar,Kothariya Main Road Rakot,22.277052,70.811399
481,Rajkot City,Gandhigram,150 fit Ring Road Modi School Near Rajkot,22.297534,70.769492
482,Rajkot City,Gandhigram-2,"150 Fit Ring Road, Opp Stearling Hospital, Rajkot.",22.306871,70.768424
483,Rajkot City,Kuwadava Road,Navagam Near Ahemdabad Haiwe Rajkot,22.314005,70.834873
484,Rajkot City,Mahila,PHQ Near Reshcos Ring Road Rajkot,22.307771,70.789924
485,Rajkot City,Malaviyanagar,Mavdi Main Road Rajkot,22.26995,70.788832
486,Rajkot City,Pradumannagar,Dharam cinema Opp. Rajkot,22.30065,70.79698
487,Rajkot City,Rajkot Taluka,Jamtaver Near Jamnagar Road Rajkot,22.27006,70.74728
488,Rajkot City,Thorala,Chunaravad Chok Bhavnagar Road Rajkot,22.29,70.82
489,Rajkot City,DCB,"Police Bhavan Near galaxy Cinema, Jilla Panchayat chowk, Race Course Ring
Road rajkot",22.299082,70.792109
490,Rajkot Rural,Bhadla,"Bhadla Police Sta(cid:415)on , Rajkot Road Ta.-Jasdan , Dist-Rajkot-360080",22.183153,71.096317
